Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Fri Apr 5 2013,7:30 pm,Cleveland Cavaliers,97,Boston Celtics,91,Box Score,,
Fri Apr 5 2013,8:00 pm,Miami Heat,89,Charlotte Bobcats,79,Box Score,,
Fri Apr 5 2013,7:00 pm,Orlando Magic,86,Chicago Bulls,87,Box Score,,
Fri Apr 5 2013,8:00 pm,Oklahoma City Thunder,97,Indiana Pacers,75,Box Score,,
Fri Apr 5 2013,7:30 pm,Memphis Grizzlies,84,Los Angeles Lakers,86,Box Score,,
Fri Apr 5 2013,7:00 pm,Toronto Raptors,95,Minnesota Timberwolves,93,Box Score,,
Fri Apr 5 2013,7:30 pm,Milwaukee Bucks,83,New York Knicks,101,Box Score,,
Fri Apr 5 2013,7:00 pm,Golden State Warriors,111,Phoenix Suns,107,Box Score,,
Fri Apr 5 2013,7:30 pm,Houston Rockets,116,Portland Trail Blazers,98,Box Score,,
Fri Apr 5 2013,7:00 pm,Dallas Mavericks,117,Sacramento Kings,108,Box Score,,
Fri Apr 5 2013,7:00 pm,New Orleans Hornets,83,Utah Jazz,95,Box Score,,
Sat Apr 6 2013,7:30 pm,Charlotte Bobcats,96,Brooklyn Nets,105,Box Score,,
Sat Apr 6 2013,7:00 pm,Houston Rockets,114,Denver Nuggets,132,Box Score,,
Sat Apr 6 2013,7:30 pm,Philadelphia 76ers,87,Miami Heat,106,Box Score,,
Sat Apr 6 2013,7:30 pm,Toronto Raptors,83,Milwaukee Bucks,100,Box Score,,
Sat Apr 6 2013,7:00 pm,Detroit Pistons,101,Minnesota Timberwolves,107,Box Score,,
Sat Apr 6 2013,7:30 pm,Atlanta Hawks,97,San Antonio Spurs,99,Box Score,,
Sat Apr 6 2013,7:00 pm,Indiana Pacers,85,Washington Wizards,104,Box Score,,
Sun Apr 7 2013,6:00 pm,Washington Wizards,96,Boston Celtics,107,Box Score,,
Sun Apr 7 2013,6:00 pm,Orlando Magic,85,Cleveland Cavaliers,91,Box Score,,
Sun Apr 7 2013,7:30 pm,Chicago Bulls,85,Detroit Pistons,99,Box Score,,
Sun Apr 7 2013,5:00 pm,Utah Jazz,97,Golden State Warriors,90,Box Score,,
Sun Apr 7 2013,12:30 pm,Los Angeles Lakers,95,Los Angeles Clippers,109,Box Score,,
Sun Apr 7 2013,12:00 pm,New York Knicks,125,Oklahoma City Thunder,120,Box Score,,
Sun Apr 7 2013,6:00 pm,New Orleans Hornets,95,Phoenix Suns,92,Box Score,,
Sun Apr 7 2013,6:00 pm,Dallas Mavericks,96,Portland Trail Blazers,91,Box Score,,
Sun Apr 7 2013,3:00 pm,Memphis Grizzlies,89,Sacramento Kings,87,Box Score,,
Tue Apr 9 2013,7:30 pm,Philadelphia 76ers,83,Brooklyn Nets,104,Box Score,,
Tue Apr 9 2013,7:00 pm,Toronto Raptors,101,Chicago Bulls,98,Box Score,,
Tue Apr 9 2013,7:30 pm,Minnesota Timberwolves,89,Golden State Warriors,105,Box Score,,
Tue Apr 9 2013,7:00 pm,Phoenix Suns,98,Houston Rockets,101,Box Score,,
Tue Apr 9 2013,7:00 pm,Cleveland Cavaliers,94,Indiana Pacers,99,Box Score,,
Tue Apr 9 2013,7:30 pm,New Orleans Hornets,96,Los Angeles Lakers,104,Box Score,,
Tue Apr 9 2013,7:00 pm,Charlotte Bobcats,75,Memphis Grizzlies,94,Box Score,,
Tue Apr 9 2013,7:30 pm,Milwaukee Bucks,83,Miami Heat,94,Box Score,,
Tue Apr 9 2013,7:30 pm,Washington Wizards,99,New York Knicks,120,Box Score,,
Tue Apr 9 2013,7:00 pm,Oklahoma City Thunder,90,Utah Jazz,80,Box Score,,
Wed Apr 10 2013,8:00 pm,Brooklyn Nets,101,Boston Celtics,93,Box Score,,
Wed Apr 10 2013,7:00 pm,Detroit Pistons,111,Cleveland Cavaliers,104,Box Score,,
Wed Apr 10 2013,7:30 pm,Phoenix Suns,102,Dallas Mavericks,91,Box Score,,
Wed Apr 10 2013,8:30 pm,San Antonio Spurs,86,Denver Nuggets,96,Box Score,,
Wed Apr 10 2013,7:30 pm,Minnesota Timberwolves,95,Los Angeles Clippers,111,Box Score,,
Wed Apr 10 2013,7:00 pm,Milwaukee Bucks,103,Orlando Magic,113,Box Score,OT,
Wed Apr 10 2013,7:00 pm,Atlanta Hawks,124,Philadelphia 76ers,101,Box Score,,
Wed Apr 10 2013,7:00 pm,Los Angeles Lakers,113,Portland Trail Blazers,106,Box Score,,
Wed Apr 10 2013,7:00 pm,New Orleans Hornets,110,Sacramento Kings,121,Box Score,,
Wed Apr 10 2013,7:00 pm,Miami Heat,103,Washington Wizards,98,Box Score,,
Thu Apr 11 2013,7:00 pm,New York Knicks,111,Chicago Bulls,118,Box Score,OT,
Thu Apr 11 2013,7:30 pm,Oklahoma City Thunder,116,Golden State Warriors,97,Box Score,,
Fri Apr 12 2013,7:30 pm,Milwaukee Bucks,104,Atlanta Hawks,109,Box Score,,
Fri Apr 12 2013,7:30 pm,New York Knicks,101,Cleveland Cavaliers,91,Box Score,,
Fri Apr 12 2013,7:30 pm,Denver Nuggets,105,Dallas Mavericks,108,Box Score,OT,
Fri Apr 12 2013,7:30 pm,Charlotte Bobcats,93,Detroit Pistons,113,Box Score,,
Fri Apr 12 2013,7:00 pm,Memphis Grizzlies,82,Houston Rockets,78,Box Score,,
Fri Apr 12 2013,7:00 pm,Brooklyn Nets,117,Indiana Pacers,109,Box Score,,
Fri Apr 12 2013,7:30 pm,Golden State Warriors,116,Los Angeles Lakers,118,Box Score,,
Fri Apr 12 2013,7:30 pm,Boston Celtics,101,Miami Heat,109,Box Score,,
Fri Apr 12 2013,7:00 pm,Los Angeles Clippers,96,New Orleans Hornets,93,Box Score,,
Fri Apr 12 2013,7:00 pm,Oklahoma City Thunder,106,Portland Trail Blazers,90,Box Score,,
Fri Apr 12 2013,7:30 pm,Sacramento Kings,101,San Antonio Spurs,108,Box Score,,
Fri Apr 12 2013,7:00 pm,Chicago Bulls,88,Toronto Raptors,97,Box Score,,
Fri Apr 12 2013,7:00 pm,Minnesota Timberwolves,100,Utah Jazz,107,Box Score,,
Fri Apr 12 2013,7:00 pm,Philadelphia 76ers,97,Washington Wizards,86,Box Score,,
Sat Apr 13 2013,7:00 pm,Milwaukee Bucks,85,Charlotte Bobcats,95,Box Score,,
Sat Apr 13 2013,7:00 pm,Los Angeles Clippers,91,Memphis Grizzlies,87,Box Score,,
Sat Apr 13 2013,7:00 pm,Phoenix Suns,93,Minnesota Timberwolves,105,Box Score,,
Sat Apr 13 2013,7:00 pm,Boston Celtics,120,Orlando Magic,88,Box Score,,
Sun Apr 14 2013,3:00 pm,Portland Trail Blazers,109,Denver Nuggets,118,Box Score,,
Sun Apr 14 2013,6:00 pm,Sacramento Kings,100,Houston Rockets,121,Box Score,,
Sun Apr 14 2013,6:30 pm,San Antonio Spurs,86,Los Angeles Lakers,91,Box Score,,
Sun Apr 14 2013,1:00 pm,Chicago Bulls,93,Miami Heat,105,Box Score,,
Sun Apr 14 2013,5:00 pm,Dallas Mavericks,107,New Orleans Hornets,89,Box Score,,
Sun Apr 14 2013,3:30 pm,Indiana Pacers,80,New York Knicks,90,Box Score,,
Sun Apr 14 2013,3:30 pm,Cleveland Cavaliers,77,Philadelphia 76ers,91,Box Score,,
Sun Apr 14 2013,3:30 pm,Brooklyn Nets,87,Toronto Raptors,93,Box Score,,
Mon Apr 15 2013,7:30 pm,Washington Wizards,101,Brooklyn Nets,106,Box Score,,
Mon Apr 15 2013,7:00 pm,New York Knicks,95,Charlotte Bobcats,106,Box Score,,
Mon Apr 15 2013,7:00 pm,Miami Heat,96,Cleveland Cavaliers,95,Box Score,,
Mon Apr 15 2013,7:00 pm,Memphis Grizzlies,103,Dallas Mavericks,97,Box Score,,
Mon Apr 15 2013,7:30 pm,Philadelphia 76ers,101,Detroit Pistons,109,Box Score,,
Mon Apr 15 2013,7:30 pm,San Antonio Spurs,106,Golden State Warriors,116,Box Score,,
Mon Apr 15 2013,7:00 pm,Denver Nuggets,112,Milwaukee Bucks,111,Box Score,,
Mon Apr 15 2013,7:00 pm,Utah Jazz,96,Minnesota Timberwolves,80,Box Score,,
Mon Apr 15 2013,7:00 pm,Sacramento Kings,95,Oklahoma City Thunder,104,Box Score,,
Mon Apr 15 2013,7:00 pm,Chicago Bulls,102,Orlando Magic,84,Box Score,,
Mon Apr 15 2013,7:00 pm,Houston Rockets,112,Phoenix Suns,119,Box Score,,
Tue Apr 16 2013,8:00 pm,Toronto Raptors,113,Atlanta Hawks,96,Box Score,,
Tue Apr 16 2013,7:30 pm,Portland Trail Blazers,77,Los Angeles Clippers,93,Box Score,,
Wed Apr 17 2013,8:00 pm,Detroit Pistons,99,Brooklyn Nets,103,Box Score,,
Wed Apr 17 2013,8:00 pm,Cleveland Cavaliers,98,Charlotte Bobcats,105,Box Score,,
Wed Apr 17 2013,7:00 pm,Washington Wizards,92,Chicago Bulls,95,Box Score,,
Wed Apr 17 2013,7:00 pm,New Orleans Hornets,87,Dallas Mavericks,99,Box Score,,
Wed Apr 17 2013,6:00 pm,Phoenix Suns,98,Denver Nuggets,118,Box Score,,
Wed Apr 17 2013,8:00 pm,Philadelphia 76ers,105,Indiana Pacers,95,Box Score,,
Wed Apr 17 2013,7:30 pm,Houston Rockets,95,Los Angeles Lakers,99,Box Score,OT,
Wed Apr 17 2013,7:00 pm,Utah Jazz,70,Memphis Grizzlies,86,Box Score,,
Wed Apr 17 2013,8:00 pm,Orlando Magic,93,Miami Heat,105,Box Score,,
Wed Apr 17 2013,8:00 pm,Atlanta Hawks,92,New York Knicks,98,Box Score,,
Wed Apr 17 2013,7:00 pm,Milwaukee Bucks,95,Oklahoma City Thunder,89,Box Score,,
Wed Apr 17 2013,7:30 pm,Golden State Warriors,99,Portland Trail Blazers,88,Box Score,,
Wed Apr 17 2013,7:30 pm,Los Angeles Clippers,112,Sacramento Kings,108,Box Score,,
Wed Apr 17 2013,7:00 pm,Minnesota Timberwolves,108,San Antonio Spurs,95,Box Score,,
Wed Apr 17 2013,8:00 pm,Boston Celtics,90,Toronto Raptors,114,Box Score,,
Sat Apr 20 2013,8:00 pm,Chicago Bulls,89,Brooklyn Nets,106,Box Score,,
Sat Apr 20 2013,5:30 pm,Golden State Warriors,95,Denver Nuggets,97,Box Score,,
Sat Apr 20 2013,10:30 pm,Memphis Grizzlies,91,Los Angeles Clippers,112,Box Score,,
Sat Apr 20 2013,3:00 pm,Boston Celtics,78,New York Knicks,85,Box Score,,
Sun Apr 21 2013,1:00 pm,Atlanta Hawks,90,Indiana Pacers,107,Box Score,,
Sun Apr 21 2013,7:00 pm,Milwaukee Bucks,87,Miami Heat,110,Box Score,,
Sun Apr 21 2013,9:30 pm,Houston Rockets,91,Oklahoma City Thunder,120,Box Score,,
Sun Apr 21 2013,3:30 pm,Los Angeles Lakers,79,San Antonio Spurs,91,Box Score,,
Mon Apr 22 2013,8:00 pm,Chicago Bulls,90,Brooklyn Nets,82,Box Score,,
Mon Apr 22 2013,10:30 pm,Memphis Grizzlies,91,Los Angeles Clippers,93,Box Score,,
Tue Apr 23 2013,10:30 pm,Golden State Warriors,131,Denver Nuggets,117,Box Score,,
Tue Apr 23 2013,7:30 pm,Milwaukee Bucks,86,Miami Heat,98,Box Score,,
Tue Apr 23 2013,8:00 pm,Boston Celtics,71,New York Knicks,87,Box Score,,
Wed Apr 24 2013,7:30 pm,Atlanta Hawks,98,Indiana Pacers,113,Box Score,,
Wed Apr 24 2013,7:00 pm,Houston Rockets,102,Oklahoma City Thunder,105,Box Score,,
Wed Apr 24 2013,9:30 pm,Los Angeles Lakers,91,San Antonio Spurs,102,Box Score,,
Thu Apr 25 2013,8:30 pm,Brooklyn Nets,76,Chicago Bulls,79,Box Score,,
Thu Apr 25 2013,9:30 pm,Los Angeles Clippers,82,Memphis Grizzlies,94,Box Score,,
Thu Apr 25 2013,7:00 pm,Miami Heat,104,Milwaukee Bucks,91,Box Score,,
Fri Apr 26 2013,8:00 pm,New York Knicks,90,Boston Celtics,76,Box Score,,
Fri Apr 26 2013,10:30 pm,Denver Nuggets,108,Golden State Warriors,110,Box Score,,
Fri Apr 26 2013,10:30 pm,San Antonio Spurs,120,Los Angeles Lakers,89,Box Score,,
Sat Apr 27 2013,7:00 pm,Indiana Pacers,69,Atlanta Hawks,90,Box Score,,
Sat Apr 27 2013,2:00 pm,Brooklyn Nets,134,Chicago Bulls,142,Box Score,3OT,
Sat Apr 27 2013,9:30 pm,Oklahoma City Thunder,104,Houston Rockets,101,Box Score,,
Sat Apr 27 2013,4:30 pm,Los Angeles Clippers,83,Memphis Grizzlies,104,Box Score,,
Sun Apr 28 2013,1:00 pm,New York Knicks,90,Boston Celtics,97,Box Score,OT,
Sun Apr 28 2013,9:30 pm,Denver Nuggets,101,Golden State Warriors,115,Box Score,,
Sun Apr 28 2013,7:00 pm,San Antonio Spurs,103,Los Angeles Lakers,82,Box Score,,
Sun Apr 28 2013,3:30 pm,Miami Heat,88,Milwaukee Bucks,77,Box Score,,
Mon Apr 29 2013,7:30 pm,Indiana Pacers,91,Atlanta Hawks,102,Box Score,,
Mon Apr 29 2013,7:00 pm,Chicago Bulls,91,Brooklyn Nets,110,Box Score,,
Mon Apr 29 2013,9:30 pm,Oklahoma City Thunder,103,Houston Rockets,105,Box Score,,
Tue Apr 30 2013,8:00 pm,Golden State Warriors,100,Denver Nuggets,107,Box Score,,
Tue Apr 30 2013,10:30 pm,Memphis Grizzlies,103,Los Angeles Clippers,93,Box Score,,
Wed May 1 2013,8:00 pm,Atlanta Hawks,83,Indiana Pacers,106,Box Score,,
Wed May 1 2013,7:00 pm,Boston Celtics,92,New York Knicks,86,Box Score,,
Wed May 1 2013,9:30 pm,Houston Rockets,107,Oklahoma City Thunder,100,Box Score,,
Thu May 2 2013,8:00 pm,Brooklyn Nets,95,Chicago Bulls,92,Box Score,,
Thu May 2 2013,10:30 pm,Denver Nuggets,88,Golden State Warriors,92,Box Score,,
Fri May 3 2013,7:00 pm,Indiana Pacers,81,Atlanta Hawks,73,Box Score,,
Fri May 3 2013,7:00 pm,New York Knicks,88,Boston Celtics,80,Box Score,,
Fri May 3 2013,9:30 pm,Oklahoma City Thunder,103,Houston Rockets,94,Box Score,,
Fri May 3 2013,9:30 pm,Los Angeles Clippers,105,Memphis Grizzlies,118,Box Score,,
Sat May 4 2013,8:00 pm,Chicago Bulls,99,Brooklyn Nets,93,Box Score,,
Sun May 5 2013,3:30 pm,Indiana Pacers,102,New York Knicks,95,Box Score,,
Sun May 5 2013,1:00 pm,Memphis Grizzlies,91,Oklahoma City Thunder,93,Box Score,,
Mon May 6 2013,7:00 pm,Chicago Bulls,93,Miami Heat,86,Box Score,,
Mon May 6 2013,9:30 pm,Golden State Warriors,127,San Antonio Spurs,129,Box Score,2OT,
Tue May 7 2013,7:00 pm,Indiana Pacers,79,New York Knicks,105,Box Score,,
Tue May 7 2013,9:30 pm,Memphis Grizzlies,99,Oklahoma City Thunder,93,Box Score,,
Wed May 8 2013,7:00 pm,Chicago Bulls,78,Miami Heat,115,Box Score,,
Wed May 8 2013,9:30 pm,Golden State Warriors,100,San Antonio Spurs,91,Box Score,,
Fri May 10 2013,8:00 pm,Miami Heat,104,Chicago Bulls,94,Box Score,,
Fri May 10 2013,10:30 pm,San Antonio Spurs,102,Golden State Warriors,92,Box Score,,
Sat May 11 2013,8:00 pm,New York Knicks,71,Indiana Pacers,82,Box Score,,
Sat May 11 2013,5:00 pm,Oklahoma City Thunder,81,Memphis Grizzlies,87,Box Score,,
Sun May 12 2013,3:30 pm,San Antonio Spurs,87,Golden State Warriors,97,Box Score,OT,
Mon May 13 2013,7:00 pm,Miami Heat,88,Chicago Bulls,65,Box Score,,
Mon May 13 2013,9:30 pm,Oklahoma City Thunder,97,Memphis Grizzlies,103,Box Score,OT,
Tue May 14 2013,7:00 pm,New York Knicks,82,Indiana Pacers,93,Box Score,,
Tue May 14 2013,9:30 pm,Golden State Warriors,91,San Antonio Spurs,109,Box Score,,
Wed May 15 2013,7:00 pm,Chicago Bulls,91,Miami Heat,94,Box Score,,
Wed May 15 2013,9:30 pm,Memphis Grizzlies,88,Oklahoma City Thunder,84,Box Score,,
Thu May 16 2013,10:30 pm,San Antonio Spurs,94,Golden State Warriors,82,Box Score,,
Thu May 16 2013,8:00 pm,Indiana Pacers,75,New York Knicks,85,Box Score,,
Sat May 18 2013,8:00 pm,New York Knicks,99,Indiana Pacers,106,Box Score,,
Sun May 19 2013,3:30 pm,Memphis Grizzlies,83,San Antonio Spurs,105,Box Score,,
Tue May 21 2013,9:00 pm,Memphis Grizzlies,89,San Antonio Spurs,93,Box Score,OT,
Wed May 22 2013,8:30 pm,Indiana Pacers,102,Miami Heat,103,Box Score,OT,
Fri May 24 2013,8:30 pm,Indiana Pacers,97,Miami Heat,93,Box Score,,
Sat May 25 2013,9:00 pm,San Antonio Spurs,104,Memphis Grizzlies,93,Box Score,OT,
Sun May 26 2013,8:30 pm,Miami Heat,114,Indiana Pacers,96,Box Score,,
Mon May 27 2013,9:00 pm,San Antonio Spurs,93,Memphis Grizzlies,86,Box Score,,
Tue May 28 2013,8:30 pm,Miami Heat,92,Indiana Pacers,99,Box Score,,
Thu May 30 2013,8:30 pm,Indiana Pacers,79,Miami Heat,90,Box Score,,
Sat Jun 1 2013,8:30 pm,Miami Heat,77,Indiana Pacers,91,Box Score,,
Mon Jun 3 2013,8:30 pm,Indiana Pacers,76,Miami Heat,99,Box Score,,
Thu Jun 6 2013,9:00 pm,San Antonio Spurs,92,Miami Heat,88,Box Score,,
Sun Jun 9 2013,8:00 pm,San Antonio Spurs,84,Miami Heat,103,Box Score,,
Tue Jun 11 2013,9:00 pm,Miami Heat,77,San Antonio Spurs,113,Box Score,,
Thu Jun 13 2013,9:00 pm,Miami Heat,109,San Antonio Spurs,93,Box Score,,
Sun Jun 16 2013,8:00 pm,Miami Heat,104,San Antonio Spurs,114,Box Score,,
Tue Jun 18 2013,9:00 pm,San Antonio Spurs,100,Miami Heat,103,Box Score,OT,
Thu Jun 20 2013,9:00 pm,San Antonio Spurs,88,Miami Heat,95,Box Score,,
